"","Year","Geography","Rate","Cases","case","state"
"1",2008,"Alabama",259,"10,027",10027,"Alabama"
"2",2008,"Alaska",100.8,"564",564,"Alaska"
"3",2008,"Arizona",211.6,"11,079",11079,"Arizona"
"4",2008,"Arkansas",181.2,"4,271",4271,"Arkansas"
"5",2008,"California",340.4,"101,572",101572,"California"
"6",2008,"Colorado",254.9,"10,321",10321,"Colorado"
"7",2008,"Connecticut",326.4,"9,574",9574,"Connecticut"
"8",2008,"Delaware",376.1,"2,739",2739,"Delaware"
"9",2008,"District of Columbia",2498.7,"12,694",12694,"District of Columbia"
"10",2008,"Florida",562.7,"87,262",87262,"Florida"
"11",2008,"Georgia",405.8,"31,765",31765,"Georgia"
"12",2008,"Hawaii",193.9,"2,090",2090,"Hawaii"
"13",2008,"Idaho",58.8,"720",720,"Idaho"
"14",2008,"Illinois",273.1,"28,853",28853,"Illinois"
"15",2008,"Indiana",153.2,"8,035",8035,"Indiana"
"16",2008,"Iowa",60.2,"1,497",1497,"Iowa"
"17",2008,"Kansas",98.5,"2,255",2255,"Kansas"
"18",2008,"Kentucky",130.4,"4,642",4642,"Kentucky"
"19",2008,"Louisiana",428.9,"15,648",15648,"Louisiana"
"20",2008,"Maine",87,"983",983,"Maine"
"21",2008,"Maryland",552.5,"25,952",25952,"Maryland"
"22",2008,"Massachusetts",293,"16,206",16206,"Massachusetts"
"23",2008,"Michigan",154,"12,839",12839,"Michigan"
"24",2008,"Minnesota",139.9,"6,055",6055,"Minnesota"
"25",2008,"Mississippi",317.2,"7,578",7578,"Mississippi"
"26",2008,"Missouri",206.5,"10,189",10189,"Missouri"
"27",2008,"Montana",38.1,"310",310,"Montana"
"28",2008,"Nebraska",100.4,"1,464",1464,"Nebraska"
"29",2008,"Nevada",299,"6,334",6334,"Nevada"
"30",2008,"New Hampshire",93.5,"1,046",1046,"New Hampshire"
"31",2008,"New Jersey",478.9,"34,504",34504,"New Jersey"
"32",2008,"New Mexico",134.1,"2,173",2173,"New Mexico"
"33",2008,"New York",741.8,"121,148",121148,"New York"
"34",2008,"North Carolina",293.1,"22,299",22299,"North Carolina"
"35",2008,"North Dakota",28.5,"154",154,"North Dakota"
"36",2008,"Ohio",163.4,"15,672",15672,"Ohio"
"37",2008,"Oklahoma",147.5,"4,405",4405,"Oklahoma"
"38",2008,"Oregon",144.1,"4,553",4553,"Oregon"
"39",2008,"Pennsylvania",265.3,"28,171",28171,"Pennsylvania"
"40",2008,"Rhode Island",210.7,"1,883",1883,"Rhode Island"
"41",2008,"South Carolina",359,"13,398",13398,"South Carolina"
"42",2008,"South Dakota",57.1,"378",378,"South Dakota"
"43",2008,"Tennessee",264.3,"13,663",13663,"Tennessee"
"44",2008,"Texas",299.4,"57,813",57813,"Texas"
"45",2008,"Utah",103.1,"2,151",2151,"Utah"
"46",2008,"Vermont",74.9,"400",400,"Vermont"
"47",2008,"Virginia",289.2,"18,716",18716,"Virginia"
"48",2008,"Washington",177,"9,647",9647,"Washington"
"49",2008,"West Virginia",90.3,"1,391",1391,"West Virginia"
"50",2008,"Wisconsin",100.5,"4,720",4720,"Wisconsin"
"51",2008,"Wyoming",44.5,"196",196,"Wyoming"
"52",2008,"American Samoa",4.4,"2",2,"American Samoa"
"53",2008,"Guam",66.9,"89",89,"Guam"
"54",2008,"Northern Mariana Islands",2.3,"1",1,"Northern Mariana Islands"
"55",2008,"Puerto Rico",527.4,"17,258",17258,"Puerto Rico"
"56",2008,"U.S. Virgin Islands",598.5,"539",539,"U.S. Virgin Islands"
"57",2009,"Alabama",267.7,"10,435",10435,"Alabama"
"58",2009,"Alaska",100.9,"571",571,"Alaska"
"59",2009,"Arizona",216.7,"11,520",11520,"Arizona"
"60",2009,"Arkansas",186.5,"4,428",4428,"Arkansas"
"61",2009,"California",349.3,"105,381",105381,"California"
"62",2009,"Colorado",255.9,"10,546",10546,"Colorado"
"63",2009,"Connecticut",328.2,"9,687",9687,"Connecticut"
"64",2009,"Delaware",381.7,"2,809",2809,"Delaware"
"65",2009,"District of Columbia",2578.5,"13,305",13305,"District of Columbia"
"66",2009,"Florida",577.8,"90,225",90225,"Florida"
"67",2009,"Georgia",426,"33,812",33812,"Georgia"
"68",2009,"Hawaii",199.3,"2,158",2158,"Hawaii"
"69",2009,"Idaho",61,"755",755,"Idaho"
"70",2009,"Illinois",282.6,"30,033",30033,"Illinois"
"71",2009,"Indiana",157.5,"8,315",8315,"Indiana"
"72",2009,"Iowa",63.7,"1,591",1591,"Iowa"
"73",2009,"Kansas",102.4,"2,362",2362,"Kansas"
"74",2009,"Kentucky",136.2,"4,882",4882,"Kentucky"
"75",2009,"Louisiana",443.6,"16,327",16327,"Louisiana"
"76",2009,"Maine",90.2,"1,020",1020,"Maine"
"77",2009,"Maryland",570.9,"27,026",27026,"Maryland"
"78",2009,"Massachusetts",298,"16,630",16630,"Massachusetts"
"79",2009,"Michigan",160.7,"13,373",13373,"Michigan"
"80",2009,"Minnesota",145.6,"6,345",6345,"Minnesota"
"81",2009,"Mississippi",327.1,"7,841",7841,"Mississippi"
"82",2009,"Missouri",211.1,"10,477",10477,"Missouri"
"83",2009,"Montana",40.9,"335",335,"Montana"
"84",2009,"Nebraska",105.4,"1,547",1547,"Nebraska"
"85",2009,"Nevada",306.5,"6,564",6564,"Nevada"
"86",2009,"New Hampshire",94.8,"1,066",1066,"New Hampshire"
"87",2009,"New Jersey",484.5,"35,127",35127,"New Jersey"
"88",2009,"New Mexico",139.5,"2,283",2283,"New Mexico"
"89",2009,"New York",750.5,"123,153",123153,"New York"
"90",2009,"North Carolina",302.7,"23,352",23352,"North Carolina"
"91",2009,"North Dakota",30,"163",163,"North Dakota"
"92",2009,"Ohio",170.5,"16,393",16393,"Ohio"
"93",2009,"Oklahoma",152.3,"4,592",4592,"Oklahoma"
"94",2009,"Oregon",148,"4,733",4733,"Oregon"
"95",2009,"Pennsylvania",273.8,"29,189",29189,"Pennsylvania"
"96",2009,"Rhode Island",219.6,"1,964",1964,"Rhode Island"
"97",2009,"South Carolina",364.8,"13,794",13794,"South Carolina"
"98",2009,"South Dakota",58.7,"392",392,"South Dakota"
"99",2009,"Tennessee",272.3,"14,210",14210,"Tennessee"
"100",2009,"Texas",308.6,"60,693",60693,"Texas"
"101",2009,"Utah",105.4,"2,242",2242,"Utah"
"102",2009,"Vermont",76.4,"409",409,"Vermont"
"103",2009,"Virginia",295.2,"19,319",19319,"Virginia"
"104",2009,"Washington",180.5,"9,985",9985,"Washington"
"105",2009,"West Virginia",93.2,"1,439",1439,"West Virginia"
"106",2009,"Wisconsin",103.8,"4,903",4903,"Wisconsin"
"107",2009,"Wyoming",47.3,"212",212,"Wyoming"
"108",2009,"American Samoa",4.3,"2",2,"American Samoa"
"109",2009,"Guam",66.4,"90",90,"Guam"
"110",2009,"Northern Mariana Islands",5,"2",2,"Northern Mariana Islands"
"111",2009,"Puerto Rico",529.2,"17,474",17474,"Puerto Rico"
"112",2009,"U.S. Virgin Islands",611.9,"554",554,"U.S. Virgin Islands"
"113",2010,"Alabama",271.2,"10,794",10794,"Alabama"
"114",2010,"Alaska",115.6,"668",668,"Alaska"
"115",2010,"Arizona",240.1,"12,557",12557,"Arizona"
"116",2010,"Arkansas",183.9,"4,429",4429,"Arkansas"
"117",2010,"California",349.9,"107,651",107651,"California"
"118",2010,"Colorado",241.2,"10,016",10016,"Colorado"
"119",2010,"Connecticut",343.8,"10,362",10362,"Connecticut"
"120",2010,"Delaware",414.8,"3,124",3124,"Delaware"
"121",2010,"District of Columbia",2784.7,"14,782",14782,"District of Columbia"
"122",2010,"Florida",567.1,"90,870",90870,"Florida"
"123",2010,"Georgia",507.6,"40,172",40172,"Georgia"
"124",2010,"Hawaii",225.4,"2,579",2579,"Hawaii"
"125",2010,"Idaho",71.2,"895",895,"Idaho"
"126",2010,"Illinois",294.5,"31,285",31285,"Illinois"
"127",2010,"Indiana",165.9,"8,862",8862,"Indiana"
